run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime,experiment,lambda0,alpha
6,20260706,RDHO,0.8881636013405995,87.40239555187205,1.4466754470535945,1.7488912882231733,0.32787763080178384,0.9174511421088751,0.7416666666666667,4.335050099994987,dynamic_penalty,0.5,3.0
7,20260707,RDHO,0.914740705540313,75.73966176489226,1.3355777377583002,1.654560957288235,0.33777803154324976,0.9207352128617551,0.725,4.404703100211918,dynamic_penalty,0.5,3.0
8,20260708,RDHO,0.971638570910573,70.0227313312558,1.6425300555945825,1.93203818046493,0.32939977460259773,0.9012537432197982,0.6916666666666667,4.38948699971661,dynamic_penalty,0.5,3.0
9,20260709,RDHO,1.1583399944906216,133.99461732046092,1.8694373898884649,2.178613712987057,0.2802547621699749,0.8827019290409882,0.6333333333333333,4.4158695000223815,dynamic_penalty,0.5,3.0
10,20260710,RDHO,0.9517443447193018,82.47434418299719,1.9145503371277326,2.2877789711418557,0.3329932762054468,0.9103884392738966,0.7166666666666667,4.393628600053489,dynamic_penalty,0.5,3.0
11,20260711,RDHO,1.0883122900478361,102.42163764343732,1.7481610502368254,2.0600729415538743,0.31338184176445233,0.9088629963327621,0.625,4.414638299960643,dynamic_penalty,0.5,3.0
12,20260712,RDHO,0.9228214051197459,80.91500192649718,1.7984511178456881,2.182763730451849,0.34402167952032814,0.908035068217196,0.7416666666666667,4.390123299788684,dynamic_penalty,0.5,3.0
13,20260713,RDHO,0.8961400942233236,55.756968161583515,1.4101845837562332,1.6849785389106429,0.3464397640928814,0.9161585231717814,0.7083333333333334,4.462868600152433,dynamic_penalty,0.5,3.0
14,20260714,RDHO,0.9016151201342766,63.936209035234924,1.66402253191247,2.0084608542761178,0.3591641790766852,0.9031031046367936,0.7166666666666667,4.355429099872708,dynamic_penalty,0.5,3.0
15,20260715,RDHO,0.8984573198454218,83.77690085499023,1.669969426664668,2.02432197696362,0.3353514253302582,0.9075320677878703,0.75,4.459699699655175,dynamic_penalty,0.5,3.0
16,20260716,RDHO,0.9507223078620766,100.1933365521316,1.517155120006732,1.8373618534778995,0.31780135420470546,0.9073632200182432,0.7166666666666667,4.501252199988812,dynamic_penalty,0.5,3.0
17,20260717,RDHO,0.9888465984441142,64.35268216418419,1.8285222989285692,2.152109587483359,0.3230810245578251,0.9019065237442848,0.7,4.429946899879724,dynamic_penalty,0.5,3.0
18,20260718,RDHO,0.9135161204788317,91.78371252157486,1.5696545221830178,1.8974553634615028,0.3314141944597494,0.903410052203619,0.725,4.401611899957061,dynamic_penalty,0.5,3.0
19,20260719,RDHO,0.9315386810976218,71.69411876136917,1.6166260985550074,1.9400065650753835,0.33951239191429167,0.8870157115278171,0.7166666666666667,4.371406500227749,dynamic_penalty,0.5,3.0
20,20260720,RDHO,0.8593828919580927,105.30479079745297,1.4839324081429535,1.8183554044124193,0.33855436566696895,0.8938701071545431,0.775,4.3710511000826955,dynamic_penalty,0.5,3.0
21,20260721,RDHO,0.9530603315703031,81.1140053912325,1.4657831056656403,1.799468387453554,0.33790073047634356,0.9016390598381232,0.7166666666666667,4.444858900271356,dynamic_penalty,0.5,3.0
22,20260722,RDHO,1.028372364606561,87.36423443928437,1.7458551397572166,2.0691159031767894,0.29687608320349546,0.9200400335176626,0.675,4.424424800090492,dynamic_penalty,0.5,3.0
23,20260723,RDHO,1.160209361261948,86.75905127649278,1.7765572142212,2.053864596149423,0.2968116334730114,0.8838825788844415,0.5916666666666667,4.38047599978745,dynamic_penalty,0.5,3.0
24,20260724,RDHO,0.8873584105945771,86.99570386437466,1.5660315072623054,1.8828029601717575,0.35765074071445946,0.8837059904089897,0.75,4.427040199749172,dynamic_penalty,0.5,3.0
25,20260725,RDHO,0.9627256599167988,122.58204972547911,1.4995681454308722,1.8078776180335325,0.33693151308726443,0.8972235325914303,0.7083333333333334,4.464284100104123,dynamic_penalty,0.5,3.0
26,20260726,RDHO,0.9906144722062654,92.8611930191509,1.4147012311815321,1.6830881299812042,0.321089677770198,0.8958331567934925,0.7083333333333334,4.399969699792564,dynamic_penalty,0.5,3.0
27,20260727,RDHO,1.0015950690224842,76.79922157297554,1.7804312994848928,2.1334671820682347,0.3167796585111519,0.9033366127531073,0.7083333333333334,4.4755822997540236,dynamic_penalty,0.5,3.0
28,20260728,RDHO,0.9467644691546353,86.39330754517457,1.69318265770085,2.0022278907387197,0.32264377203169003,0.8854628131756055,0.7416666666666667,4.3893492999486625,dynamic_penalty,0.5,3.0
29,20260729,RDHO,1.0935698526747575,79.20710252863424,1.332944758140496,1.563218892916813,0.3105082361331827,0.8731031446105136,0.625,4.460675599984825,dynamic_penalty,0.5,3.0
30,20260730,RDHO,0.8760054346582096,78.38449126460682,1.5523436144835787,1.8570790678157465,0.3452243043846226,0.9142297286591949,0.7416666666666667,4.437797199934721,dynamic_penalty,0.5,3.0
1,20260701,RDHO,1.0446757135753888,101.1670804504885,1.6390934442875782,1.947035040319814,0.3235339195513923,0.9150318894877915,0.6583333333333333,4.773912500124425,dynamic_penalty,1.0,1.0
2,20260702,RDHO,1.1438881020789564,83.38901229376171,1.9845759320500662,2.3234574566015973,0.3066236809024806,0.8789248767305731,0.6416666666666667,4.482275899965316,dynamic_penalty,1.0,1.0
3,20260703,RDHO,0.8325582350792786,72.80048080635004,1.5297883060714752,1.8872562568272222,0.34956511082243,0.8986446972980536,0.7666666666666667,4.491763500031084,dynamic_penalty,1.0,1.0
4,20260704,RDHO,0.9834965082764512,76.59205725426062,1.685118065189167,2.007722729500886,0.3414152605404727,0.8932379206105416,0.6916666666666667,4.4853389002382755,dynamic_penalty,1.0,1.0
5,20260705,RDHO,1.062268103982883,114.13932953246413,1.8517731183952026,2.172576169055163,0.2975181496924313,0.883475610363691,0.6833333333333333,4.474504100158811,dynamic_penalty,1.0,1.0
6,20260706,RDHO,0.8881636013405995,87.40239555187205,1.4466754470535945,1.7488912882231733,0.32787763080178384,0.9174511421088751,0.7416666666666667,4.417046899907291,dynamic_penalty,1.0,1.0
7,20260707,RDHO,0.914740705540313,75.73966176489226,1.3355777377583002,1.654560957288235,0.33777803154324976,0.9207352128617551,0.725,4.533344199880958,dynamic_penalty,1.0,1.0
8,20260708,RDHO,0.971638570910573,70.0227313312558,1.6425300555945825,1.93203818046493,0.32939977460259773,0.9012537432197982,0.6916666666666667,4.521573300007731,dynamic_penalty,1.0,1.0
9,20260709,RDHO,1.1595646500254881,131.78991544183606,1.8951937769391116,2.2043701000377034,0.2800771247320313,0.8823735481777818,0.6333333333333333,4.475391500163823,dynamic_penalty,1.0,1.0
10,20260710,RDHO,0.9508236945004847,82.46873672229759,1.9139758845522976,2.287204518566421,0.3329403761065333,0.9103672561248444,0.7166666666666667,4.439057999756187,dynamic_penalty,1.0,1.0
11,20260711,RDHO,1.0883122900478361,102.42163764343732,1.7481610502368254,2.0600729415538743,0.31338184176445233,0.9088629963327621,0.625,4.493902399670333,dynamic_penalty,1.0,1.0
12,20260712,RDHO,0.9228205198513535,80.34160341624536,1.8058213996445942,2.190134012250755,0.34398725457354384,0.9080436423303753,0.7416666666666667,4.440391400363296,dynamic_penalty,1.0,1.0
13,20260713,RDHO,0.896712046895456,55.53136743370658,1.4124279733890195,1.6872219285434287,0.3464294360958614,0.9162618357338065,0.7083333333333334,4.426180299837142,dynamic_penalty,1.0,1.0
14,20260714,RDHO,0.9016151201342766,63.936209035234924,1.66402253191247,2.0084608542761178,0.3591641790766852,0.9031031046367936,0.7166666666666667,4.3431259002536535,dynamic_penalty,1.0,1.0
15,20260715,RDHO,0.8984573198454218,83.77690085499023,1.669969426664668,2.02432197696362,0.3353514253302582,0.9075320677878703,0.75,4.460182399954647,dynamic_penalty,1.0,1.0
16,20260716,RDHO,0.9507223078620766,100.1933365521316,1.517155120006732,1.8373618534778995,0.31780135420470546,0.9073632200182432,0.7166666666666667,4.397714900318533,dynamic_penalty,1.0,1.0
17,20260717,RDHO,0.9888465984441142,64.35268216418419,1.8285222989285692,2.152109587483359,0.3230810245578251,0.9019065237442848,0.7,4.397969000041485,dynamic_penalty,1.0,1.0
18,20260718,RDHO,0.9135161204788317,91.78371252157486,1.5696545221830178,1.8974553634615028,0.3314141944597494,0.903410052203619,0.725,4.382440799847245,dynamic_penalty,1.0,1.0
19,20260719,RDHO,0.9315386810976218,71.69411876136917,1.6166260985550074,1.9400065650753835,0.33951239191429167,0.8870157115278171,0.7166666666666667,4.349041200242937,dynamic_penalty,1.0,1.0
20,20260720,RDHO,0.8593828919580927,105.30479079745297,1.4839324081429535,1.8183554044124193,0.33855436566696895,0.8938701071545431,0.775,4.332372499629855,dynamic_penalty,1.0,1.0
21,20260721,RDHO,0.9530603315703031,81.1140053912325,1.4657831056656403,1.799468387453554,0.33790073047634356,0.9016390598381232,0.7166666666666667,4.451734300237149,dynamic_penalty,1.0,1.0
22,20260722,RDHO,1.028372364606561,87.36423443928437,1.7458551397572166,2.0691159031767894,0.29687608320349546,0.9200400335176626,0.675,4.387135199736804,dynamic_penalty,1.0,1.0
23,20260723,RDHO,1.1593396717650966,86.08306600521448,1.773909858614322,2.051217240542545,0.29689430778603,0.8846215239930043,0.5916666666666667,4.4693269999697804,dynamic_penalty,1.0,1.0
24,20260724,RDHO,0.8873584105945771,86.99570386437466,1.5660315072623054,1.8828029601717575,0.35765074071445946,0.8837059904089897,0.75,4.361843899823725,dynamic_penalty,1.0,1.0
25,20260725,RDHO,0.9627256599167988,122.58204972547911,1.4995681454308722,1.8078776180335325,0.33693151308726443,0.8972235325914303,0.7083333333333334,4.397241200320423,dynamic_penalty,1.0,1.0
26,20260726,RDHO,0.9906144722062654,92.8611930191509,1.4147012311815321,1.6830881299812042,0.321089677770198,0.8958331567934925,0.7083333333333334,4.415925600100309,dynamic_penalty,1.0,1.0
27,20260727,RDHO,1.0015950690224842,76.79922157297554,1.7804312994848928,2.1334671820682347,0.3167796585111519,0.9033366127531073,0.7083333333333334,4.373889899812639,dynamic_penalty,1.0,1.0
28,20260728,RDHO,0.9467644691546353,86.39330754517457,1.69318265770085,2.0022278907387197,0.32264377203169003,0.8854628131756055,0.7416666666666667,4.298749700188637,dynamic_penalty,1.0,1.0
29,20260729,RDHO,1.0910782207973888,79.99325570948707,1.3191422514626998,1.5494163862390165,0.31208580398786834,0.8742213965689851,0.625,4.4634469002485275,dynamic_penalty,1.0,1.0
30,20260730,RDHO,0.8760054346582096,78.38449126460682,1.5523436144835787,1.8570790678157465,0.3452243043846226,0.9142297286591949,0.7416666666666667,4.3937356998212636,dynamic_penalty,1.0,1.0
1,20260701,RDHO,1.0446757135753888,101.1670804504885,1.6390934442875782,1.947035040319814,0.3235339195513923,0.9150318894877915,0.6583333333333333,4.390118599869311,dynamic_penalty,1.0,2.0
2,20260702,RDHO,1.1438881020789564,83.38901229376171,1.9845759320500662,2.3234574566015973,0.3066236809024806,0.8789248767305731,0.6416666666666667,4.342081799637526,dynamic_penalty,1.0,2.0
3,20260703,RDHO,0.8325582350792786,72.80048080635004,1.5297883060714752,1.8872562568272222,0.34956511082243,0.8986446972980536,0.7666666666666667,4.347161400131881,dynamic_penalty,1.0,2.0
4,20260704,RDHO,0.9834965082764512,76.59205725426062,1.685118065189167,2.007722729500886,0.3414152605404727,0.8932379206105416,0.6916666666666667,4.4163261000067,dynamic_penalty,1.0,2.0
5,20260705,RDHO,1.062268103982883,114.13932953246413,1.8517731183952026,2.172576169055163,0.2975181496924313,0.883475610363691,0.6833333333333333,4.315692799631506,dynamic_penalty,1.0,2.0
